Title,Link,pubDate,Description,Source,Tag
Inside green groups' strategies for the midterms - The Washington Post,https://www.washingtonpost.com/politics/2022/06/14/inside-green-groups-strategies-midterms/,6/14/2022,Inside green groups' strategies for the midterms&nbsp;&nbsp;The Washington Post,The Washington Post,Vehicles
Latest Russia-Ukraine war news: Live updates - The Washington Post,https://www.washingtonpost.com/world/2022/06/14/russia-ukraine-war-putin-news-live-updates/,6/14/2022,Latest Russia-Ukraine war news: Live updates&nbsp;&nbsp;The Washington Post,The Washington Post,Vehicles
Activists fear a new threat to biodiversity—renewable energy - National Geographic,https://www.nationalgeographic.com/environment/article/activists-fear-biodiversity-threat-from-renewable-energy,5/26/2022,Activists fear a new threat to biodiversity—renewable energy&nbsp;&nbsp;National Geographic,National Geographic,Vehicles
Cash-strapped Zimbabwe pushes to be allowed to sell its ivory stockpile - Mongabay.com,https://news.mongabay.com/2022/06/cash-strapped-zimbabwe-pushes-to-be-allowed-to-sell-its-ivory-stockpile/,6/1/2022,Cash-strapped Zimbabwe pushes to be allowed to sell its ivory stockpile&nbsp;&nbsp;Mongabay.com,Mongabay.com,Vehicles
How Light and Noise Pollution Confound Animals' Senses - The Atlantic,https://www.theatlantic.com/magazine/archive/2022/07/light-noise-pollution-animal-sensory-impact/638446/,6/13/2022,How Light and Noise Pollution Confound Animals' Senses&nbsp;&nbsp;The Atlantic,The Atlantic,Vehicles
"Crews to Begin Sand Relocation at Ocean Beach This Week, Parts of Great Highway Will be Closed - NBC Bay Area",https://www.nbcbayarea.com/news/local/san-francisco/crews-to-begin-sand-relocation-at-ocean-beach-this-week-parts-of-great-highway-will-be-closed/2919002/,6/14/2022,"Crews to Begin Sand Relocation at Ocean Beach This Week, Parts of Great Highway Will be Closed&nbsp;&nbsp;NBC Bay Area",NBC Bay Area,Vehicles
Auckland Council propose fee to drive on Muriwai Beach after previous ban for safety and conservation - Stuff,https://www.stuff.co.nz/environment/128948239/auckland-council-propose-fee-to-drive-on-muriwai-beach-after-previous-ban-for-safety-and-conservation,6/14/2022,Auckland Council propose fee to drive on Muriwai Beach after previous ban for safety and conservation&nbsp;&nbsp;Stuff,Stuff,Vehicles
Biden's Saudi soft sell- POLITICO - POLITICO,https://www.politico.com/newsletters/morning-energy/2022/06/14/bidens-saudi-soft-sell-00039324,6/14/2022,Biden's Saudi soft sell- POLITICO&nbsp;&nbsp;POLITICO,POLITICO,Vehicles
Tribals of beautiful but remote MM Hills to get vehicle transport services - The Hindu,https://www.thehindu.com/news/national/karnataka/vehicle-services-to-connect-remote-hamlets-in-mm-hills/article65456558.ece,5/24/2022,Tribals of beautiful but remote MM Hills to get vehicle transport services&nbsp;&nbsp;The Hindu,The Hindu,Vehicles
Bandelier National Monument Set To Reopen - National Parks Traveler,https://www.nationalparkstraveler.org/2022/05/bandelier-national-monument-set-reopen,5/27/2022,Bandelier National Monument Set To Reopen&nbsp;&nbsp;National Parks Traveler,National Parks Traveler,Vehicles
Blue is the new green: How business can protect the ocean - The Boston Globe,https://www.bostonglobe.com/2022/06/13/opinion/blue-is-new-green-how-business-can-protect-ocean/,6/13/2022,Blue is the new green: How business can protect the ocean&nbsp;&nbsp;The Boston Globe,The Boston Globe,Vehicles
"Feds get new guidelines for e-bikes in national parks, forests - Gillette News Record",https://www.gillettenewsrecord.com/news/wyoming/article_b34cc94f-fcab-5c8b-bf18-1ee3e2115596.html,6/13/2022,"Feds get new guidelines for e-bikes in national parks, forests&nbsp;&nbsp;Gillette News Record",Gillette News Record,Vehicles
Stage 2 fire restrictions for Central and Northern Arizona | Arizona Emergency information Network - az.gov,https://ein.az.gov/emergency-information/emergency-bulletin/stage-2-fire-restrictions-central-and-northern-arizona,5/24/2022,Stage 2 fire restrictions for Central and Northern Arizona | Arizona Emergency information Network&nbsp;&nbsp;az.gov,az.gov,Vehicles
California’s Rural Areas Risk Being Left Out in EV Push - Government Technology,https://www.govtech.com/opinion/californias-rural-areas-risk-being-left-out-in-ev-push,6/1/2022,California’s Rural Areas Risk Being Left Out in EV Push&nbsp;&nbsp;Government Technology,Government Technology,Vehicles
Fears over national park land as three-wheeler legislation goes through Senate - Royal Gazette,https://www.royalgazette.com/politics/news/article/20220608/fears-over-national-park-land-as-senators-green-light-three-wheeler-legislation/,6/8/2022,Fears over national park land as three-wheeler legislation goes through Senate&nbsp;&nbsp;Royal Gazette,Royal Gazette,Vehicles
Florida seeks ‘bear response’ workers in several counties - Tampa Bay Times,https://www.tampabay.com/news/environment/2022/05/18/florida-seeks-bear-response-workers-in-several-counties/,5/18/2022,Florida seeks ‘bear response’ workers in several counties&nbsp;&nbsp;Tampa Bay Times,Tampa Bay Times,Vehicles
Amy Calder: Why did the salamander cross the road? Waterville man has the answer - Kennebec Journal and Morning Sentinel,https://www.centralmaine.com/2022/06/03/amy-calder-why-did-the-salamander-cross-the-road-waterville-man-has-the-answer/,6/3/2022,Amy Calder: Why did the salamander cross the road? Waterville man has the answer&nbsp;&nbsp;Kennebec Journal and Morning Sentinel,Kennebec Journal and Morning Sentinel,Vehicles
Banff Urges People To Use Transit Options - National Parks Traveler,https://www.nationalparkstraveler.org/2022/05/banff-urges-people-use-transit-options,5/23/2022,Banff Urges People To Use Transit Options&nbsp;&nbsp;National Parks Traveler,National Parks Traveler,Vehicles
Critics fear environmental impact of new Alberta legislation aimed at reducing red tape - The Globe and Mail,https://www.theglobeandmail.com/canada/alberta/article-critics-fear-environmental-impact-of-new-alberta-legislation-aimed-at/,5/31/2022,Critics fear environmental impact of new Alberta legislation aimed at reducing red tape&nbsp;&nbsp;The Globe and Mail,The Globe and Mail,Vehicles
Cycle-mounted officers will ticket vehicles that block bike lanes in Philly - The Philadelphia Inquirer,https://www.inquirer.com/transportation/bike-lanes-parked-vehicles-ppa-enforcement-20220518.html,5/18/2022,Cycle-mounted officers will ticket vehicles that block bike lanes in Philly&nbsp;&nbsp;The Philadelphia Inquirer,The Philadelphia Inquirer,Vehicles
New A.M Enriques Agnoletti High School of Sesto Fiorentino / Settanta7 - ArchDaily,https://www.archdaily.com/983525/new-am-enriques-agnoletti-high-school-of-sesto-fiorentino-settanta7,6/13/2022,New A.M Enriques Agnoletti High School of Sesto Fiorentino / Settanta7&nbsp;&nbsp;ArchDaily,ArchDaily,Vehicles
"As snow melts, Interior Alaska biologists tally number of winter-killed wildlife - Alaska Public Media News",https://www.alaskapublic.org/2022/05/17/as-snow-melts-interior-alaska-biologists-tally-number-of-winter-killed-wildlife/,5/17/2022,"As snow melts, Interior Alaska biologists tally number of winter-killed wildlife&nbsp;&nbsp;Alaska Public Media News",Alaska Public Media News,Vehicles
Innovation Center for U.S. Dairy Announces 2022 Sustainability Award Winners - Dairy Herd Management,https://www.dairyherd.com/news/business/innovation-center-us-dairy-announces-2022-sustainability-award-winners,6/8/2022,Innovation Center for U.S. Dairy Announces 2022 Sustainability Award Winners&nbsp;&nbsp;Dairy Herd Management,Dairy Herd Management,Vehicles
Top 10 things to know about visiting Yellowstone National Park this summer season - Montana Outdoor Radio Show,https://www.montanaoutdoor.com/2022/05/top-10-things-to-know-about-visiting-yellowstone-national-park-this-summer-season/,5/24/2022,Top 10 things to know about visiting Yellowstone National Park this summer season&nbsp;&nbsp;Montana Outdoor Radio Show,Montana Outdoor Radio Show,Vehicles
Interview: Why Our Cities Need To Have Their Own Net-Zero Plans – The Wire Science - The Wire Science,https://science.thewire.in/environment/urban-emissions-electric-vehicles-net-zero/,6/13/2022,Interview: Why Our Cities Need To Have Their Own Net-Zero Plans – The Wire Science&nbsp;&nbsp;The Wire Science,The Wire Science,Vehicles
Equilibrium/Sustainability — China to send solar power from space - The Hill,https://thehill.com/policy/equilibrium-sustainability/3515135-equilibrium-sustainability-china-to-send-solar-power-from-space/,6/7/2022,Equilibrium/Sustainability — China to send solar power from space&nbsp;&nbsp;The Hill,The Hill,Vehicles
Sailing into Success with Saildrone's Unmanned Surface Vehicles - AZoRobotics,https://www.azorobotics.com/Article.aspx?ArticleID=516,5/16/2022,Sailing into Success with Saildrone's Unmanned Surface Vehicles&nbsp;&nbsp;AZoRobotics,AZoRobotics,Vehicles
Asia’s longest tusked elephant Bhogeshwara dies - Star of Mysore,https://starofmysore.com/asias-longest-tusked-elephant-bhogeshwara-dies/,6/12/2022,Asia’s longest tusked elephant Bhogeshwara dies&nbsp;&nbsp;Star of Mysore,Star of Mysore,Vehicles
"Road project threatens to derail Nepal's conservation gains, study says - Mongabay.com",https://news.mongabay.com/2022/03/road-project-threatens-to-derail-nepals-conservation-gains-study-says/,3/18/2022,"Road project threatens to derail Nepal's conservation gains, study says&nbsp;&nbsp;Mongabay.com",Mongabay.com,Vehicles
UPDATE: Hangout Music Fest resumes normal operations - WEAR,https://weartv.com/news/local/hangout-music-fest-ask-attendees-to-exit-event-due-to-weather,5/22/2022,UPDATE: Hangout Music Fest resumes normal operations&nbsp;&nbsp;WEAR,WEAR,Vehicles
"DEC’s new rules for Wildlife Management Areas regulate vehicles, boats, firearms and invasive species - newyorkupstate.com",https://www.newyorkupstate.com/outdoors/2021/12/decs-new-rules-for-wildlife-management-areas-regulate-vehicles-boats-firearms-and-invasive-species.html,12/2/2021,"DEC’s new rules for Wildlife Management Areas regulate vehicles, boats, firearms and invasive species&nbsp;&nbsp;newyorkupstate.com",newyorkupstate.com,Vehicles
Inside the race for top Ways and Means Republican - E&E News,https://www.eenews.net/articles/inside-the-race-for-top-ways-and-means-republican/,6/14/2022,Inside the race for top Ways and Means Republican&nbsp;&nbsp;E&amp;E News,E&E News,Vehicles
FLHSMV announces 12 new Florida specialty license plates - The Apopka Voice,"https://theapopkavoice.com/stories/flhsmv-announces-12-new-florida-specialty-license-plates,15066",6/2/2022,FLHSMV announces 12 new Florida specialty license plates&nbsp;&nbsp;The Apopka Voice,The Apopka Voice,Vehicles
Evaluating the benefits and risks of social media for wildlife conservation - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0112,3/10/2022,Evaluating the benefits and risks of social media for wildlife conservation&nbsp;&nbsp;FACETS Journal,FACETS Journal,Vehicles
FACT SHEET: Biden-⁠Harris Administration Hits the Ground Running to Build a Better America Six Months into Infrastructure Implementation - The White House,https://www.whitehouse.gov/briefing-room/statements-releases/2022/05/16/fact-sheet-biden-harris-administration-hits-the-ground-running-to-build-a-better-america-six-months-into-infrastructure-implementation/,5/16/2022,FACT SHEET: Biden-⁠Harris Administration Hits the Ground Running to Build a Better America Six Months into Infrastructure Implementation&nbsp;&nbsp;The White House,The White House,Vehicles
Cochrane Dam open to the public on June 18 - The Electric,https://theelectricgf.com/2022/06/13/cochrane-dam-open-to-the-public-on-june-18/,6/13/2022,Cochrane Dam open to the public on June 18&nbsp;&nbsp;The Electric,The Electric,Vehicles
Coastal California Sunflower Is Latest Endangered Species Act Success - Center for Biological Diversity,https://biologicaldiversity.org/w/news/press-releases/coastal-california-sunflower-is-latest-endangered-species-act-success-2022-03-30/,3/30/2022,Coastal California Sunflower Is Latest Endangered Species Act Success&nbsp;&nbsp;Center for Biological Diversity,Center for Biological Diversity,Vehicles
Engine Oils Are More Complex Than Ever - Modern Tire Dealer,https://www.moderntiredealer.com/articles/33415-engine-oils-are-more-complex-than-ever,6/8/2022,Engine Oils Are More Complex Than Ever&nbsp;&nbsp;Modern Tire Dealer,Modern Tire Dealer,Vehicles
"Outsiders Can't Visit Monkey Island, But Its Legacy Is Still Pretty Fascinating - TheTravel",https://www.thetravel.com/outsiders-cant-visit-monkey-island-but-its-legacy-is-still-pretty-fascinating/,6/10/2022,"Outsiders Can't Visit Monkey Island, But Its Legacy Is Still Pretty Fascinating&nbsp;&nbsp;TheTravel",TheTravel,Vehicles
Wilderness | US Fish & Wildlife Service - US Fish and Wildlife Service,https://www.fws.gov/program/wilderness,4/11/2022,Wilderness | US Fish & Wildlife Service&nbsp;&nbsp;US Fish and Wildlife Service,US Fish and Wildlife Service,Vehicles
How to Get Involved | US Fish & Wildlife Service - US Fish and Wildlife Service,https://www.fws.gov/initiative/climate-change/how-get-involved,11/2/2021,How to Get Involved | US Fish & Wildlife Service&nbsp;&nbsp;US Fish and Wildlife Service,US Fish and Wildlife Service,Vehicles
Maharashtra: Panel recommends design change in elevated Thane-Ghodbunder Road - The Indian Express,https://indianexpress.com/article/cities/mumbai/panel-recommends-design-change-in-elevated-thane-ghodbunder-road-7956209/,6/7/2022,Maharashtra: Panel recommends design change in elevated Thane-Ghodbunder Road&nbsp;&nbsp;The Indian Express,The Indian Express,Vehicles
Conservation opportunities and challenges in Brazil's roadless and railroad-less areas - Science,https://www.science.org/doi/10.1126/sciadv.abi5548,3/4/2022,Conservation opportunities and challenges in Brazil's roadless and railroad-less areas&nbsp;&nbsp;Science,Science,Vehicles
Budget 2022 overview: Issues - Department of Conservation,https://www.doc.govt.nz/news/issues/budget-2022-overview/,5/19/2022,Budget 2022 overview: Issues&nbsp;&nbsp;Department of Conservation,Department of Conservation,Vehicles
Farm vehicles are now heavier than most dinosaurs: Why that’s a problem - Verve Times,https://vervetimes.com/farm-vehicles-are-now-heavier-than-most-dinosaurs-why-thats-a-problem/,5/17/2022,Farm vehicles are now heavier than most dinosaurs: Why that’s a problem&nbsp;&nbsp;Verve Times,Verve Times,Vehicles
"Man 'returns' 1,300 acres to Muscogee Nation - Yahoo News",https://news.yahoo.com/man-returns-1-300-acres-084800654.html,6/1/2022,"Man 'returns' 1,300 acres to Muscogee Nation&nbsp;&nbsp;Yahoo News",Yahoo News,Vehicles
FAA moves SpaceX a step closer to receiving Starship launch license – Spaceflight Now - Spaceflight Now,https://spaceflightnow.com/2022/06/13/faa-moves-spacex-a-step-closer-to-receiving-starship-launch-license/,6/13/2022,FAA moves SpaceX a step closer to receiving Starship launch license – Spaceflight Now&nbsp;&nbsp;Spaceflight Now,Spaceflight Now,Vehicles
New rules for Winnipeg pet owners and businesses - City of Winnipeg,https://winnipeg.ca/ourstories/2022/220601.stm,6/1/2022,New rules for Winnipeg pet owners and businesses&nbsp;&nbsp;City of Winnipeg,City of Winnipeg,Vehicles
Kill this bug immediately if you see it anywhere in NJ - New Jersey 101.5 FM,https://nj1015.com/kill-this-bug-immediately-if-you-see-it-anywhere-in-nj/,6/14/2022,Kill this bug immediately if you see it anywhere in NJ&nbsp;&nbsp;New Jersey 101.5 FM,New Jersey 101.5 FM,Vehicles
Selkirk's Piping Plover Mural Highlights Endangered Species - Center for Biological Diversity,https://biologicaldiversity.org/w/news/press-releases/selkirks-piping-plover-mural-highlights-endangered-species-2022-06-07/,6/7/2022,Selkirk's Piping Plover Mural Highlights Endangered Species&nbsp;&nbsp;Center for Biological Diversity,Center for Biological Diversity,Vehicles
"Environment, Conservation And Wildlife Organizations Global Market Report 2022 - ResearchAndMarkets.com - Yahoo Finance",https://finance.yahoo.com/news/environment-conservation-wildlife-organizations-global-111900373.html,2/25/2022,"Environment, Conservation And Wildlife Organizations Global Market Report 2022 - ResearchAndMarkets.com&nbsp;&nbsp;Yahoo Finance",Yahoo Finance,Vehicles
Creating a Nature Positive Future: The Contribution of Protected Areas and Other Effective Area-Based Conservation Measures - United Nations Development Programme,https://www.undp.org/publications/creating-nature-positive-future-contribution-protected-areas-and-other-effective-area,11/11/2021,Creating a Nature Positive Future: The Contribution of Protected Areas and Other Effective Area-Based Conservation Measures&nbsp;&nbsp;United Nations Development Programme,United Nations Development Programme,Vehicles
"Rob's Rundown: Week of June 6 – June 10, 2022 - Senator Rob Portman",https://www.portman.senate.gov/newsroom/robs-rundown/robs-rundown-week-june-6-june-10-2022,6/10/2022,"Rob's Rundown: Week of June 6 – June 10, 2022&nbsp;&nbsp;Senator Rob Portman",Senator Rob Portman,Vehicles
Tata Motors : announces the Auction winner of its Tata Punch Kaziranga Edition - Marketscreener.com,https://www.marketscreener.com/quote/stock/TATA-MOTORS-LIMITED-46728680/news/Tata-Motors-announces-the-Auction-winner-of-its-Tata-Punch-Kaziranga-Edition-40511634/,5/22/2022,Tata Motors : announces the Auction winner of its Tata Punch Kaziranga Edition&nbsp;&nbsp;Marketscreener.com,Marketscreener.com,Vehicles
IKIN ships holographic ARC terminal with no need for goggles - FierceElectronics,https://www.fierceelectronics.com/sensors/ikin-arc-ships-commercial-holographic-desktop-terminal-no-need-goggles,6/13/2022,IKIN ships holographic ARC terminal with no need for goggles&nbsp;&nbsp;FierceElectronics,FierceElectronics,Vehicles
Active travel projects set to launch across Cambridgeshire - Cambridge Independent,https://www.cambridgeindependent.co.uk/news/active-travel-projects-set-to-launch-across-cambridgeshire-9259115/,6/14/2022,Active travel projects set to launch across Cambridgeshire&nbsp;&nbsp;Cambridge Independent,Cambridge Independent,Vehicles
Marine Protected Areas Are Less Effective Than We Thought — Illegal Fishing Is to Blame - EcoWatch,https://www.ecowatch.com/marine-protected-areas-illegal-fishing-2654643519.html,8/12/2021,Marine Protected Areas Are Less Effective Than We Thought — Illegal Fishing Is to Blame&nbsp;&nbsp;EcoWatch,EcoWatch,Vehicles
"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports - Nature.com",https://www.nature.com/articles/s41598-022-08330-w,3/21/2022,"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports&nbsp;&nbsp;Nature.com",Nature.com,Vehicles
Here’s where biodiversity is disappearing the quickest in the US - Popular Science,https://www.popsci.com/environment/map-endangered-species-us/,3/14/2022,Here’s where biodiversity is disappearing the quickest in the US&nbsp;&nbsp;Popular Science,Popular Science,Vehicles
How stable are visions for protected area management? Stakeholder perspectives before and during a pandemic - Wiley,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1002/pan3.10292,1/20/2022,How stable are visions for protected area management? Stakeholder perspectives before and during a pandemic&nbsp;&nbsp;Wiley,Wiley,Vehicles
DEC Adopts New Regulations to Protect Wildlife Management Areas - NYS Dept. of Environmental Conservation - New York State Department of Environmental Conservation,https://www.dec.ny.gov/press/124113.html,11/3/2021,DEC Adopts New Regulations to Protect Wildlife Management Areas - NYS Dept. of Environmental Conservation&nbsp;&nbsp;New York State Department of Environmental Conservation,New York State Department of Environmental Conservation,Vehicles
The Next Challenge for Solid-State Batteries? Making Lots of Them - Verve Times,https://vervetimes.com/the-next-challenge-for-solid-state-batteries-making-lots-of-them-2/,6/9/2022,The Next Challenge for Solid-State Batteries? Making Lots of Them&nbsp;&nbsp;Verve Times,Verve Times,Vehicles
